measure_number	beat	offset	duration	notes
12	5/3	134/3	1/3	('C2', 'C3', 'E4', 'G4')
12	2.0	45.0	1/3	('B1', 'B2', 'G3', 'G4')
12	7/3	136/3	1/3	('B1', 'B2', 'B3', 'G4')
12	8/3	137/3	1/3	('B1', 'B2', 'E4', 'G4')
12	3.0	46.0	1/3	('A#1', 'A#2', 'G3', 'G4')
12	10/3	139/3	1/3	('A#1', 'A#2', 'C#4', 'G4')
12	11/3	140/3	1/3	('A#1', 'A#2', 'E4', 'G4')
12	4.0	47.0	1/3	('A#1', 'A#2', 'F#3', 'F#4')
12	13/3	142/3	1/3	('A#1', 'A#2', 'C#4', 'F#4')
12	14/3	143/3	1/3	('A#1', 'A#2', 'E4', 'F#4')
13	1.0	48.0	1/3	('B1', 'B2', 'F#3', 'F#4')
13	4/3	145/3	1/3	('B1', 'B2', 'B3', 'F#4')
13	5/3	146/3	1/3	('B1', 'B2', 'D4', 'F#4')
13	2.0	49.0	1/3	('B1', 'B2', 'F#3', 'F#4')
13	7/3	148/3	1/3	('B1', 'B2', 'B3', 'F#4')
13	8/3	149/3	1/3	('B1', 'B2', 'D4', 'F#4')
13	3.0	50.0	1/3	('E2', 'G3', 'G4')
13	10/3	151/3	1/3	('E2', 'B3', 'G4')
13	11/3	152/3	1/3	('E2', 'C#4', 'G4')
13	4.0	51.0	1/3	('G2', 'E3', 'E4')
13	13/3	154/3	1/3	('G2', 'B3', 'E4')
13	14/3	155/3	1/3	('G2', 'C#4', 'E4')
14	1.0	52.0	1/3	('F#2', 'F#3', 'F#4')
14	4/3	157/3	1/3	('F#2', 'B3', 'F#4')
14	5/3	158/3	1/3	('F#2', 'D4', 'F#4')
14	2.0	53.0	1/3	('F#2', 'F#3', 'F#4')
14	7/3	160/3	1/3	('F#2', 'B3', 'F#4')
14	8/3	161/3	1/3	('F#2', 'D4', 'F#4')
14	3.0	54.0	1/3	('F#1', 'F#2', 'F#3', 'F#4')
14	10/3	163/3	1/3	('F#1', 'F#2', 'A#3', 'F#4')
14	11/3	164/3	1/3	('F#1', 'F#2', 'C#4', 'F#4')
14	4.0	55.0	1/3	('F#1', 'F#2', 'F#3', 'F#4')
14	13/3	166/3	1/3	('F#1', 'F#2', 'A#3', 'F#4')
14	14/3	167/3	1/3	('F#1', 'F#2', 'C#4', 'F#4')
15	1.0	56.0	1/3	('B1', 'B2', 'B3')
15	4/3	169/3	1/3	('B1', 'B2', 'B3', 'D4')
15	5/3	170/3	1/3	('B1', 'B2', 'B3', 'F#4')
15	2.0	57.0	1/3	('B1', 'B2', 'B3')
15	7/3	172/3	1/3	('B1', 'B2', 'D4')
15	8/3	173/3	1/3	('B1', 'B2', 'F#4')
15	3.0	58.0	1/3	('B1', 'B2', 'B3')
15	10/3	175/3	1/3	('B1', 'B2', 'D#4')
15	11/3	176/3	1/3	('B1', 'B2', 'F#4')
15	4.0	59.0	1/3	('B1', 'B2', 'B3', 'B4')
15	13/3	178/3	1/3	('B1', 'B2', 'D#4', 'B4')
15	14/3	179/3	1/3	('B1', 'B2', 'F#4', 'B4')
16	1.0	60.0	1/3	('B1', 'B2', 'B3', 'C5')
16	4/3	181/3	1/3	('B1', 'B2', 'E4', 'C5')
16	5/3	182/3	1/3	('B1', 'B2', 'G4', 'C5')
